model,cv_rmse_mean,cv_rmse_std
GradientBoosting_RandSearch,3.117399464929188,0.15494189121833585
RandomForest_RandSearch,3.3530657592973903,0.1617406061127499
LinearRegression,4.5721058283634095,0.0802434097165607
Ridge,4.572108448882753,0.08019037171193606
